t y cos1 sin1 cos2 sin2
67 2 -0.866025388 -0.5 0.5 0.866025388
68 0 -0.5 -0.866025388 -0.5 0.866025388
69 0 -3.18E-15 -1 -1 6.37E-15
70 1 0.5 -0.866025388 -0.5 -0.866025388
71 2 0.866025388 -0.5 0.5 -0.866025388
72 0 1 -1.47E-15 1 -2.94E-15
73 3 0.866025388 0.5 0.5 0.866025388
74 1 0.5 0.866025388 -0.5 0.866025388
75 1 -2.46E-16 1 -1 -4.91E-16
76 0 -0.5 0.866025388 -0.5 -0.866025388
77 2 -0.866025388 0.5 0.5 -0.866025388
78 0 -1 5.14E-15 1 -1.03E-14
79 4 -0.866025388 -0.5 0.5 0.866025388
80 0 -0.5 -0.866025388 -0.5 0.866025388
81 1 -3.43E-15 -1 -1 6.86E-15
82 1 0.5 -0.866025388 -0.5 -0.866025388
83 1 0.866025388 -0.5 0.5 -0.866025388
84 1 1 -1.71E-15 1 -3.43E-15
85 1 0.866025388 0.5 0.5 0.866025388
86 0 0.5 0.866025388 -0.5 0.866025388
87 1 7.10E-15 1 -1 1.42E-14
88 1 -0.5 0.866025388 -0.5 -0.866025388
89 0 -0.866025388 0.5 0.5 -0.866025388
90 2 -1 -1.72E-15 1 3.43E-15
91 1 -0.866025388 -0.5 0.5 0.866025388
92 3 -0.5 -0.866025388 -0.5 0.866025388
93 1 -3.67E-15 -1 -1 7.35E-15
94 2 0.5 -0.866025388 -0.5 -0.866025388
95 4 0.866025388 -0.5 0.5 -0.866025388
96 0 1 -1.96E-15 1 -3.92E-15
97 0 0.866025388 0.5 0.5 0.866025388
98 0 0.5 0.866025388 -0.5 0.866025388
99 1 2.44E-16 1 -1 4.89E-16
100 0 -0.5 0.866025388 -0.5 -0.866025388
101 1 -0.866025388 0.5 0.5 -0.866025388
102 0 -1 5.63E-15 1 -1.13E-14
103 2 -0.866025388 -0.5 0.5 0.866025388
104 2 -0.5 -0.866025388 -0.5 0.866025388
105 4 3.19E-15 -1 -1 -6.37E-15
106 2 0.5 -0.866025388 -0.5 -0.866025388
107 3 0.866025388 -0.5 0.5 -0.866025388
108 3 1 -2.20E-15 1 -4.41E-15
109 0 0.866025388 0.5 0.5 0.866025388
110 0 0.5 0.866025388 -0.5 0.866025388
111 2 4.89E-16 1 -1 9.78E-16
112 7 -0.5 0.866025388 -0.5 -0.866025388
113 8 -0.866025388 0.5 0.5 -0.866025388
114 2 -1 5.88E-15 1 -1.18E-14
115 4 -0.866025388 -0.5 0.5 0.866025388
116 1 -0.5 -0.866025388 -0.5 0.866025388
117 1 -4.16E-15 -1 -1 8.33E-15
118 2 0.5 -0.866025388 -0.5 -0.866025388
119 4 0.866025388 -0.5 0.5 -0.866025388
120 0 1 -9.55E-15 1 -1.91E-14
121 1 0.866025388 0.5 0.5 0.866025388
122 1 0.5 0.866025388 -0.5 0.866025388
123 1 7.84E-15 1 -1 1.57E-14
124 3 -0.5 0.866025388 -0.5 -0.866025388
125 0 -0.866025388 0.5 0.5 -0.866025388
126 0 -1 -9.81E-16 1 1.96E-15
127 0 -0.866025388 -0.5 0.5 0.866025388
128 0 -0.5 -0.866025388 -0.5 0.866025388
129 1 -4.41E-15 -1 -1 8.82E-15
130 0 0.5 -0.866025388 -0.5 -0.866025388
131 1 0.866025388 -0.5 0.5 -0.866025388
132 1 1 4.41E-15 1 8.82E-15
133 0 0.866025388 0.5 0.5 0.866025388
134 0 0.5 0.866025388 -0.5 0.866025388
135 0 9.79E-16 1 -1 1.96E-15
136 0 -0.5 0.866025388 -0.5 -0.866025388
137 0 -0.866025388 0.5 0.5 -0.866025388
138 1 -1 6.37E-15 1 -1.27E-14
139 2 -0.866025388 -0.5 0.5 0.866025388
140 0 -0.5 -0.866025388 -0.5 0.866025388
141 2 -1.18E-14 -1 -1 2.35E-14
142 0 0.5 -0.866025388 -0.5 -0.866025388
143 0 0.866025388 -0.5 0.5 -0.866025388
144 0 1 -2.94E-15 1 -5.88E-15
145 1 0.866025388 0.5 0.5 0.866025388
146 0 0.5 0.866025388 -0.5 0.866025388
147 1 -5.88E-15 1 -1 -1.18E-14
148 0 -0.5 0.866025388 -0.5 -0.866025388
149 1 -0.866025388 0.5 0.5 -0.866025388
150 0 -1 -4.91E-16 1 9.82E-16
151 2 -0.866025388 -0.5 0.5 0.866025388
152 0 -0.5 -0.866025388 -0.5 0.866025388
153 0 -4.90E-15 -1 -1 9.80E-15
154 1 0.5 -0.866025388 -0.5 -0.866025388
155 2 0.866025388 -0.5 0.5 -0.866025388
156 0 1 -1.03E-14 1 -2.06E-14
157 1 0.866025388 0.5 0.5 0.866025388
158 0 0.5 0.866025388 -0.5 0.866025388
159 0 1.47E-15 1 -1 2.94E-15
160 0 -0.5 0.866025388 -0.5 -0.866025388
161 1 -0.866025388 0.5 0.5 -0.866025388
162 2 -1 6.86E-15 1 -1.37E-14
163 1 -0.866025388 -0.5 0.5 0.866025388
164 0 -0.5 -0.866025388 -0.5 0.866025388
165 1 -1.22E-14 -1 -1 2.45E-14
166 3 0.5 -0.866025388 -0.5 -0.866025388
167 6 0.866025388 -0.5 0.5 -0.866025388
168 1 1 -3.43E-15 1 -6.86E-15
169 2 0.866025388 0.5 0.5 0.866025388
170 0 0.5 0.866025388 -0.5 0.866025388
171 0 8.82E-15 1 -1 1.76E-14
172 0 -0.5 0.866025388 -0.5 -0.866025388
173 1 -0.866025388 0.5 0.5 -0.866025388
174 1 -1 1.42E-14 1 -2.84E-14
175 0 -0.866025388 -0.5 0.5 0.866025388
176 0 -0.5 -0.866025388 -0.5 0.866025388
177 0 8.82E-15 -1 -1 -1.76E-14
178 0 0.5 -0.866025388 -0.5 -0.866025388
179 3 0.866025388 -0.5 0.5 -0.866025388
180 0 1 3.43E-15 1 6.86E-15
181 1 0.866025388 0.5 0.5 0.866025388
182 1 0.5 0.866025388 -0.5 0.866025388
183 0 1.96E-15 1 -1 3.92E-15
184 0 -0.5 0.866025388 -0.5 -0.866025388
185 1 -0.866025388 0.5 0.5 -0.866025388
186 0 -1 7.35E-15 1 -1.47E-14
187 2 -0.866025388 -0.5 0.5 0.866025388
188 1 -0.5 -0.866025388 -0.5 0.866025388
189 1 1.47E-15 -1 -1 -2.94E-15
190 0 0.5 -0.866025388 -0.5 -0.866025388
191 0 0.866025388 -0.5 0.5 -0.866025388
192 0 1 -3.92E-15 1 -7.84E-15
193 0 0.866025388 0.5 0.5 0.866025388
194 1 0.5 0.866025388 -0.5 0.866025388
195 0 9.31E-15 1 -1 1.86E-14
196 0 -0.5 0.866025388 -0.5 -0.866025388
197 0 -0.866025388 0.5 0.5 -0.866025388
198 0 -1 4.89E-16 1 -9.77E-16
199 0 -0.866025388 -0.5 0.5 0.866025388
200 1 -0.5 -0.866025388 -0.5 0.866025388
201 0 -5.88E-15 -1 -1 1.18E-14
202 0 0.5 -0.866025388 -0.5 -0.866025388
203 1 0.866025388 -0.5 0.5 -0.866025388
204 0 1 -1.13E-14 1 -2.25E-14
205 0 0.866025388 0.5 0.5 0.866025388
206 0 0.5 0.866025388 -0.5 0.866025388
207 0 1.67E-14 1 -1 3.33E-14
208 0 -0.5 0.866025388 -0.5 -0.866025388
209 0 -0.866025388 0.5 0.5 -0.866025388
210 0 -1 -6.37E-15 1 1.27E-14
211 0 -0.866025388 -0.5 0.5 0.866025388
212 0 -0.5 -0.866025388 -0.5 0.866025388
213 0 9.82E-16 -1 -1 -1.96E-15
214 0 0.5 -0.866025388 -0.5 -0.866025388
215 0 0.866025388 -0.5 0.5 -0.866025388
